%time      con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
996004381     350.0     349.9        14.8     56.4         0        0
996004682     350.0     349.9        16.2     56.4         0        0
996004983     350.0     349.9        15.7     56.4         0        0
996005284     350.0     349.9        15.0     56.4         0        0
996005585     350.0     349.9        15.9     56.4         0        0
996005886     350.0     349.9        15.9     56.4         0        0
996006187     350.0     349.9        15.1     56.4         0        0
996006488     350.0     349.9        16.9     56.4         0        0
996006789     350.0     349.9        14.7     56.4         0        0
996007091     350.0     349.9        14.9     56.4         0        0
996007392     350.0     349.9        16.4     56.4         0        0
996007693     350.0     349.9        14.2     56.4         0        0
996007994     350.0     349.9        15.4     56.4         0        0
996008295     350.0     349.9        15.1     56.4         0        0
996008596     350.0     349.9        14.4     56.4         0        0
996008897     350.0     349.9        15.6     56.4         0        0
996009198     350.0     349.9        15.3     56.4         0        0
996009499     350.0     349.9        15.8     56.4         0        0
996009800     350.0     349.9        16.8     56.4         0        0
996010101     350.0     349.9        14.9     56.4         0        0
996010403     350.0     349.9        15.4     56.4         0        0
996010704     350.0     349.9        15.5     56.4         0        0
996011005     350.0     349.9        16.1     56.4         0        0
996011306     350.0     349.9        15.2     56.4         0        0
996011607     350.0     349.9        14.8     56.4         0        0
996011908     350.0     349.9        14.6     56.4         0        0
996012209     350.0     349.9        14.3     56.4         0        0
996012510     350.0     349.9        15.1     56.4         0        0
996012811     350.0     349.9        16.0     56.4         0        0
996013112     350.0     349.9        15.8     56.4         0        0
996013414     350.0     349.9        14.0     56.4         0        0
996013715     350.0     349.9        14.5     56.4         0        0
996014016     350.0     349.9        14.6     56.4         0        0
996014317     350.0     349.9        13.9     56.4         0        0
996014618     350.0     349.9        15.1     56.4         0        0
996014919     350.0     349.9        15.3     56.4         0        0
996015220     350.0     349.9        15.2     56.4         0        0
996015521     350.0     349.9        15.0     56.4         0        0
996015822     350.0     349.9        15.4     56.4         0        0
996016123     350.0     349.9        15.4     56.4         0        0
996016424     350.0     349.9        14.1     56.4         0        0
996016726     350.0     349.9        14.8     56.4         0        0
996017027     350.0     349.9        14.0     56.4         0        0
996017328     350.0     349.9        15.5     56.4         0        0
996017629     350.0     349.9        15.4     56.4         0        0
996017930     350.0     349.9        15.6     56.4         0        0
996018231     350.0     349.9        14.9     56.4         0        0
996018532     350.0     349.9        15.6     56.4         0        0
996018833     350.0     349.9        16.4     56.4         0        0
996019134     350.0     349.9        14.7     56.4         0        0
996019435     350.0     349.9        14.8     56.4         0        0
996019736     350.0     350.0        14.2     56.4         0        0
996020038     350.0     349.9        14.3     56.4         0        0
996020339     350.0     349.9        15.0     56.4         0        0
996020640     350.0     349.9        14.9     56.4         0        0
996020941     350.0     349.9        15.4     56.4         0        0
996021242     350.0     349.9        15.0     56.4         0        0
996021543     350.0     349.9        14.6     56.4         0        0
996021844     350.0     349.9        15.7     56.4         0        0
996022145     350.0     349.9        15.5     56.4         0        0
996022446     350.0     349.9        15.4     56.4         0        0
996022747     350.0     349.9        14.4     56.4         0        0
996023049     350.0     349.9        13.9     56.4         0        0
996023350     350.0     349.9        13.9     56.4         0        0
996023651     350.0     349.9        14.9     56.4         0        0
996023952     350.0     349.9        14.8     56.4         0        0
996024253     350.0     349.9        14.9     56.4         0        0
996024554     350.0     349.9        14.6     56.4         0        0
996024855     350.0     349.9        14.0     56.4         0        0
996025156     350.0     349.9        13.3     56.4         0        0
996025457     350.0     349.9        14.8     56.4         0        0
996025758     350.0     349.9        14.7     56.4         0        0
996026059     350.0     349.9        14.2     56.4         0        0
996026361     350.0     349.9        15.3     56.4         0        0
996026662     350.0     349.9        14.5     56.4         0        0
996026963     350.0     349.9        17.6     56.4         0        0
996027264     350.0     349.9        15.2     56.4         0        0
996027565     350.0     349.9        15.5     56.1         2        0
996027866     350.0     349.9        14.5     56.4         0        0
996028167     350.0     349.9        14.5     56.4         0        0
996028468     350.0     349.9        13.3     56.4         0        0
996028769     350.0     349.9        14.3     56.4         0        0
996029070     350.0     349.9        13.2     56.4         0        0
996029371     350.0     349.9        13.9     56.4         0        0
996029672     350.0     349.9        14.7     56.4         0        0
996029974     350.0     349.9        15.2     56.4         0        0
996030275     350.0     349.9        14.1     56.4         0        0
996030576     350.0     349.9        16.2     56.4         0        0
996030877     350.0     349.9        15.1     56.4         0        0
996031178     350.0     349.9        14.7     56.4         0        0
996031479     350.0     349.9        15.1     56.4         0        0
996031780     350.0     349.9        15.6     56.4         0        0
996032081     350.0     349.9        14.8     56.4         0        0
996032382     350.0     349.9        15.0     56.4         0        0
996032683     350.0     349.9        16.3     56.4         0        0
996032985     350.0     349.9        16.0     56.4         0        0
996033286     350.0     349.9        14.2     56.4         0        0
996033587     350.0     349.9        14.0     56.4         0        0
996033888     350.0     349.9        14.7     56.4         0        0
996034189     350.0     349.9        16.0     56.4         0        0
996034490     350.0     349.9        15.9     56.4         0        0
996034791     350.0     349.9        15.5     56.4         0        0
996035092     350.0     349.9        15.2     56.4         0        0
996035393     350.0     349.9        14.6     56.4         0        0
996035694     350.0     349.9        13.7     56.4         0        0
996035995     350.0     349.9        14.2     56.4         0        0
996036296     350.0     349.9        14.8     56.4         0        0
996036598     350.0     349.9        15.3     56.4         0        0
996036899     350.0     349.9        14.7     56.4         0        0
996037200     350.0     349.9        13.1     56.4         0        0
996037501     350.0     349.9        14.8     56.4         0        0
996037802     350.0     349.9        14.8     56.4         0        0
996038103     350.0     349.9        14.2     56.4         0        0
996038404     350.0     349.9        14.4     56.4         0        0
996038705     350.0     349.9        13.5     56.4         0        0
996039006     350.0     349.9        14.9     56.4         0        0
996039307     350.0     349.9        15.9     56.4         0        0
996039608     350.0     349.9        15.0     56.4         0        0
996039910     350.0     349.9        15.7     56.4         0        0
996040211     350.0     349.9        15.3     56.4         0        0
996040512     350.0     349.9        14.8     56.4         0        0
996040813     350.0     349.9        14.9     56.4         0        0
996041114     350.0     349.9        15.6     56.4         0        0
996041415     350.0     349.9        15.4     56.4         0        0
996041716     350.0     349.9        16.0     56.4         0        0
996042017     350.0     349.9        15.8     56.4         0        0
996042318     350.0     349.9        15.0     56.4         0        0
996042619     350.0     349.9        15.6     56.4         0        0
996042920     350.0     349.9        16.1     56.4         0        0
996043222     350.0     349.9        15.5     56.4         0        0
996043523     350.0     349.9        15.8     56.4         0        0
996043824     350.0     349.9        14.4     56.4         0        0
996044125     350.0     349.9        15.1     56.4         0        0
996044426     350.0     349.9        14.0     56.4         0        0
996044727     350.0     349.9        14.9     56.4         0        0
996045028     350.0     349.9        13.3     56.4         0        0
996045329     350.0     349.9        14.9     56.4         0        0
996045630     350.0     349.9        14.6     56.4         0        0
996045931     350.0     349.9        14.5     56.4         0        0
996046232     350.0     349.9        14.8     56.4         0        0
996046534     350.0     349.9        15.1     56.4         0        0
996046835     350.0     349.9        15.6     56.4         0        0
996047136     350.0     349.9        14.8     56.4         0        0
996047437     350.0     349.9        15.1     56.4         0        0
996047738     350.0     349.9        15.7     56.4         0        0
996048039     350.0     328.1        80.6     45.0      6548        0
996048341     350.0     349.8        15.6     52.5        28        0
996048642     350.0     349.9        15.5     56.4         0        0
996048943     350.0     349.9        15.1     56.4         0        0
996049244     350.0     349.9        14.6     56.4         0        0
996049545     350.0     349.9        15.5     56.4         0        0
996049846     350.0     349.9        14.9     56.4         0        0
996050147     350.0     349.9        14.0     56.4         0        0
996050448     350.0     349.9        14.6     56.4         0        0
996050749     350.0     349.9        15.3     56.4         0        0
996051051     350.0     349.9        14.9     56.4         0        0
996051352     350.0     349.9        15.5     56.4         0        0
996051653     350.0     349.9        14.9     56.4         0        0
996051954     350.0     349.9        13.8     56.4         0        0
996052255     350.0     349.9        15.1     56.4         0        0
996052556     350.0     349.9        13.7     56.4         0        0
996052857     350.0     349.9        13.0     56.4         0        0
996053158     350.0     349.9        14.4     56.4         0        0
996053459     350.0     349.9        13.8     56.4         0        0
996053760     350.0     349.9        15.0     56.4         0        0
996054061     350.0     349.9        15.1     56.4         0        0
996054363     350.0     349.9        13.3     56.4         0        0
996054664     350.0     349.9        13.1     56.4         0        0
996054965     350.0     349.9        15.3     56.4         0        0
996055266     350.0     349.9        15.4     56.4         0        0
996055567     350.0     349.9        14.6     56.4         0        0
996055868     350.0     349.9        14.3     56.4         0        0
996056169     350.0     349.9        15.7     56.4         0        0
996056470     350.0     349.9        15.3     56.4         0        0
996056771     350.0     349.9        15.7     56.4         0        0
996057072     350.0     349.9        16.0     56.4         0        0
996057373     350.0     349.9        15.7     56.4         0        0
996057674     350.0     349.9        16.0     56.4         0        0
996057976     350.0     349.9        14.7     56.4         0        0
996058277     350.0     349.9        14.4     56.4         0        0
996058578     350.0     349.9        14.4     56.4         0        0
996058879     350.0     349.9        16.1     56.4         0        0
996059180     350.0     349.9        14.9     56.4         0        0
996059481     350.0     349.9        15.6     56.4         0        0
996059782     350.0     349.9        15.9     56.4         0        0
996060083     350.0     349.9        14.9     56.4         0        0
996060384     350.0     349.9        15.9     56.4         0        0
996060685     350.0     349.9        14.2     56.4         0        0
996060986     350.0     349.9        13.9     56.4         0        0
996061288     350.0     349.9        14.8     56.4         0        0
996061589     350.0     349.9        15.1     56.4         0        0
996061890     350.0     349.9        14.6     56.4         0        0
996062191     350.0     349.9        16.2     56.4         0        0
996062492     350.0     349.9        14.7     56.4         0        0
996062793     350.0     349.9        14.3     56.4         0        0
996063094     350.0     349.9        15.9     56.4         0        0
996063395     350.0     349.9        14.0     56.4         0        0
996063696     350.0     349.9        15.4     56.4         0        0
996063997     350.0     349.9        15.7     56.4         0        0
996064299     350.0     349.9        15.6     56.4         0        0
996064600     350.0     349.9        15.2     56.4         0        0
996064901     350.0     349.9        15.1     56.4         0        0
996065202     350.0     349.9        15.6     56.4         0        0
996065503     350.0     349.9        15.0     56.4         0        0
996065804     350.0     349.9        15.3     56.4         0        0
996066105     350.0     349.9        15.8     56.4         0        0
996066406     350.0     349.9        14.8     56.4         0        0
996066707     350.0     349.9        15.4     56.4         0        0
996067008     350.0     349.9        15.0     56.4         0        0
996067309     350.0     349.9        15.3     56.4         0        0
996067611     350.0     349.9        14.9     56.4         0        0
996067912     350.0     349.9        16.1     56.4         0        0
996068213     350.0     349.9        14.3     56.4         0        0
