%time       con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
1007392629     350.0     349.9        23.6     55.5         6        0
1007392931     350.0     349.9        18.7     56.4         0        0
1007393232     350.0     349.9        18.4     56.4         0        0
1007393533     350.0     349.9        21.5     56.4         0        0
1007393834     350.0     349.9        26.5     55.9         5        0
1007394135     350.0     312.9        99.1     49.9     10401        0
1007394440     350.0     349.7        33.0     45.9        77        0
1007394741     350.0     349.9        19.7     56.4         0        0
1007395042     350.0     349.9        18.5     56.4         0        0
1007395344     350.0     349.9        17.8     56.4         0        0
1007395645     350.0     349.9        19.9     56.4         0        0
1007395946     350.0     349.9        18.6     56.4         0        0
1007396247     350.0     349.9        19.2     56.4         0        0
1007396548     350.0     349.9        20.9     56.4         0        0
1007396849     350.0     349.9        20.8     56.4         0        0
1007397150     350.0     349.9        20.7     56.4         0        0
1007397451     350.0     349.9        21.2     56.4         0        0
1007397752     350.0     349.9        21.1     56.4         0        0
1007398053     350.0     349.9        20.4     56.4         0        0
1007398355     350.0     349.9        21.6     56.4         0        0
1007398656     350.0     349.9        21.2     56.4         0        0
1007398957     350.0     349.9        20.6     56.4         0        0
1007399258     350.0     349.9        21.1     56.4         0        0
1007399559     350.0     349.9        18.8     56.4         0        0
1007399860     350.0     349.9        19.8     56.4         0        0
1007400161     350.0     349.9        21.4     56.4         0        0
1007400462     350.0     349.9        21.5     56.4         0        0
1007400763     350.0     349.9        20.3     56.4         0        0
1007401064     350.0     349.9        21.6     56.4         0        0
1007401366     350.0     349.9        21.8     56.4         0        0
1007401667     350.0     349.9        19.7     56.4         0        0
1007401968     350.0     349.9        20.0     56.4         0        0
1007402269     350.0     349.9        20.7     56.4         0        0
1007402570     350.0     349.9        19.8     56.4         0        0
1007402871     350.0     349.9        20.6     56.2         1        0
1007403172     350.0     349.9        20.3     56.4         0        0
1007403473     350.0     349.9        20.1     56.4         0        0
1007403774     350.0     349.9        20.6     56.4         0        0
1007404076     350.0     349.9        21.6     56.4         0        0
1007404377     350.0     349.9        21.2     56.4         0        0
1007404678     350.0     349.9        20.8     56.4         0        0
1007404979     350.0     349.9        19.1     56.4         0        0
1007405280     350.0     349.9        19.8     56.4         0        0
1007405581     350.0     349.9        19.8     56.4         0        0
1007405882     350.0     349.9        19.0     56.4         0        0
1007406183     350.0     349.9        18.9     56.4         0        0
1007406484     350.0     349.9        20.1     56.4         0        0
1007406785     350.0     349.9        19.6     56.4         0        0
1007407087     350.0     349.9        18.2     56.4         0        0
1007407388     350.0     349.9        18.6     56.4         0        0
1007407689     350.0     349.9        19.1     56.4         0        0
1007407990     350.0     349.9        20.2     56.4         0        0
1007408291     350.0     349.9        18.6     56.4         0        0
1007408592     350.0     349.9        18.8     56.4         0        0
1007408893     350.0     349.9        19.1     56.4         0        0
1007409194     350.0     349.9        19.1     56.4         0        0
1007409495     350.0     349.9        18.7     56.4         0        0
1007409797     350.0     349.9        19.2     56.4         0        0
1007410098     350.0     349.9        19.5     56.4         0        0
1007410399     350.0     349.9        19.8     56.4         0        0
1007410700     350.0     349.9        18.6     56.4         0        0
1007411001     350.0     349.9        18.6     56.4         0        0
1007411302     350.0     349.9        18.2     56.4         0        0
1007411603     350.0     349.9        20.2     56.4         0        0
1007411904     350.0     349.9        20.6     56.4         0        0
1007412205     350.0     349.9        20.0     56.4         0        0
1007412506     350.0     349.9        20.1     56.4         0        0
1007412808     350.0     349.9        19.4     56.3         0        0
1007413109     350.0     349.9        20.0     56.4         0        0
1007413410     350.0     349.9        20.0     56.4         0        0
1007413711     350.0     349.9        16.5     56.4         0        0
1007414012     350.0     349.9        19.2     56.4         0        0
1007414313     350.0     349.9        18.4     56.4         0        0
1007414614     350.0     349.9        18.5     56.4         0        0
1007414915     350.0     349.9        18.9     56.4         0        0
1007415216     350.0     349.9        19.6     56.4         0        0
1007415517     350.0     349.9        20.1     56.4         0        0
1007415819     350.0     349.9        20.0     56.4         0        0
1007416120     350.0     349.9        21.1     56.4         0        0
1007416421     350.0     349.9        20.1     56.4         0        0
1007416722     350.0     349.9        19.7     56.4         0        0
1007417023     350.0     349.9        21.5     56.4         0        0
1007417324     350.0     349.9        19.6     56.4         0        0
1007417625     350.0     349.9        19.4     56.4         0        0
1007417926     350.0     349.9        19.9     56.4         0        0
1007418227     350.0     349.9        19.1     56.4         0        0
1007418529     350.0     349.9        20.5     56.4         0        0
1007418830     350.0     349.9        19.0     56.4         0        0
1007419131     350.0     349.9        18.3     56.4         0        0
1007419432     350.0     349.9        18.4     56.4         0        0
1007419733     350.0     349.9        18.8     56.4         0        0
1007420034     350.0     349.9        18.1     56.4         0        0
1007420335     350.0     350.0        18.4     56.4         0        0
1007420636     350.0     349.9        19.7     56.4         0        0
1007420937     350.0     349.9        19.3     56.4         0        0
1007421238     350.0     349.9        20.1     56.4         0        0
1007421540     350.0     349.9        19.1     56.4         0        0
1007421841     350.0     349.9        19.1     56.4         0        0
1007422142     350.0     349.9        19.3     56.4         0        0
1007422443     350.0     349.9        20.4     56.4         0        0
1007422744     350.0     349.9        18.7     56.4         0        0
